iter	Passed	Remaining
813	35408	51589
814	35451	51546
815	35494	51502
816	35532	51451
817	35572	51401
818	35619	51362
819	35669	51329
820	35711	51283
821	35745	51226
822	35869	51298
823	35918	51262
824	35967	51226
825	36009	51180
826	36050	51133
827	36091	51085
828	36140	51050
829	36187	51011
830	36227	50962
831	36261	50905
832	36292	50844
833	36337	50803
834	36381	50759
835	36424	50714
836	36455	50653
837	36495	50606
838	36531	50552
839	36576	50510
840	36622	50470
841	36657	50415
842	36700	50370
843	36744	50327
844	36787	50283
845	36825	50233
846	36861	50178
847	36903	50133
848	36944	50086
849	36983	50036
850	37027	49993
851	37056	49931
852	37092	49876
853	37138	49836
854	37168	49775
855	37210	49729
856	37242	49671
857	37272	49609
858	37311	49559
859	37354	49516
860	37405	49483
861	37446	49435
862	37479	49379
863	37524	49337
864	37567	49294
865	37614	49255
866	37656	49209
867	37701	49167
868	37738	49116
869	37782	49073
870	37827	49032
871	37868	48985
872	37915	48947
873	37944	48884
874	37977	48828
875	38017	48780
876	38064	48742
877	38106	48695
878	38135	48635
879	38173	48584
880	38211	48534
881	38239	48471
882	38288	48435
883	38328	48387
884	38367	48339
885	38404	48287
886	38450	48247
887	38494	48204
888	38541	48166
889	38578	48115
890	38612	48059
891	38655	48015
892	38696	47969
893	38743	47931
894	38777	47875
895	38821	47833
896	38862	47787
897	38908	47747
898	38945	47696
899	38984	47647
900	39020	47595
901	39053	47539
902	39089	47487
903	39136	47449
904	39179	47405
905	39218	47356
906	39253	47303
907	39294	47257
908	39325	47199
909	39378	47167
910	39427	47130
911	39472	47090
912	39521	47053
913	39560	47004
914	39596	46952
915	39645	46916
916	39684	46868
917	39733	46831
918	39770	46781
919	39813	46737
920	39855	46692
921	39893	46643
922	39931	46593
923	39981	46558
924	40017	46506
925	40062	46465
926	40104	46421
927	40139	46368
928	40177	46319
929	40220	46275
930	40265	46233
931	40309	46191
932	40343	46137
933	40378	46084
934	40411	46030
935	40466	46000
936	40512	45960
937	40554	45915
938	40599	45874
939	40637	45825
940	40677	45777
941	40721	45735
942	40769	45697
943	40809	45651
944	40846	45600
945	40882	45550
946	40927	45508
947	40976	45472
948	41019	45428
949	41062	45384
950	41104	45339
951	41146	45295
952	41184	45246
953	41230	45206
954	41269	45158
955	41307	45109
956	41356	45072
957	41393	45023
958	41435	44978
959	41469	44924
960	41500	44869
961	41546	44828
962	41586	44782
963	41632	44741
964	41673	44695
965	41706	44642
966	41740	44589
967	41783	44546
968	41817	44492
969	41862	44452
970	41898	44401
971	41934	44350
972	41969	44299
973	41996	44238
974	42036	44192
975	42086	44156
976	42134	44118
977	42174	44071
978	42218	44029
979	42258	43983
980	42304	43943
981	42338	43890
982	42373	43839
983	42417	43797
984	42457	43750
985	42505	43712
986	42548	43668
987	42584	43619
988	42631	43579
989	42677	43539
990	42722	43498
991	42763	43453
992	42796	43399
993	42845	43362
994	42882	43313
995	42926	43271
996	42967	43226
997	42996	43169
998	43030	43116
999	43077	43077
1000	43113	43027
1001	43163	42991
1002	43200	42942
1003	43244	42899
1004	43284	42854
1005	43328	42811
1006	43368	42765
1007	43399	42711
1008	43441	42666
1009	43479	42618
1010	43514	42567
1011	43565	42532
1012	43599	42480
1013	43640	42435
1014	43678	42387
1015	43721	42344
1016	43754	42291
1017	43808	42259
1018	43849	42214
1019	43889	42168
1020	43929	42122
1021	43974	42081
1022	44017	42038
1023	44060	41994
1024	44097	41946
1025	44139	41902
1026	44175	41853
1027	44216	41807
1028	44262	41767
1029	44300	41720
1030	44334	41668
1031	44386	41634
1032	44438	41599
1033	44478	41553
1034	44513	41502
1035	44555	41459
1036	44596	41413
1037	44642	41373
1038	44682	41327
1039	44720	41280
1040	44760	41234
1041	44790	41179
1042	44850	41152
1043	44893	41109
1044	44937	41067
1045	44974	41019
1046	45011	40970
1047	45048	40922
1048	45082	40870
1049	45123	40826
1050	45172	40788
1051	45211	40742
1052	45247	40692
1053	45294	40653
1054	45341	40613
1055	45384	40570
1056	45414	40516
1057	45456	40472
1058	45488	40420
1059	45532	40377
1060	45578	40337
1061	45616	40289
1062	45654	40243
1063	45692	40196
1064	45727	40145
1065	45762	40095
1066	45802	40049
1067	45844	40006
1068	45883	39960
1069	45922	39914
1070	45962	39868
1071	46004	39824
1072	46049	39783
1073	46090	39739
1074	46131	39694
1075	46174	39651
1076	46215	39607
1077	46282	39585
1078	46371	39581
1079	46437	39557
1080	46479	39513
1081	46517	39466
1082	46550	39415
1083	46588	39367
1084	46619	39315
1085	46655	39266
1086	46697	39222
1087	46739	39178
1088	46783	39136
1089	46819	39088
1090	46861	39044
1091	46903	39000
1092	46952	38962
1093	46989	38914
1094	47020	38861
1095	47063	38818
1096	47105	38774
1097	47151	38734
1098	47189	38687
1099	47229	38642
1100	47260	38589
1101	47303	38546
1102	47350	38507
1103	47383	38456
1104	47424	38411
1105	47461	38364
1106	47500	38317
1107	47545	38276
1108	47591	38236
1109	47631	38190
1110	47669	38144
1111	47708	38098
1112	47744	38049
1113	47784	38004
1114	47825	37959
1115	47868	37917
1116	47913	37875
1117	47955	37832
1118	48002	37792
1119	48047	37751
1120	48093	37710
1121	48125	37659
1122	48162	37612
1123	48199	37564
1124	48236	37516
1125	48282	37476
1126	48322	37431
1127	48364	37388
1128	48400	37339
1129	48445	37298
1130	48491	37258
1131	48534	37215
1132	48568	37165
1133	48604	37118
1134	48646	37074
1135	48688	37030
1136	48725	36983
1137	48765	36938
1138	48803	36892
1139	48845	36848
1140	48889	36806
1141	48930	36762
1142	48970	36716
1143	49003	36666
1144	49027	36609
1145	49073	36569
1146	49113	36524
1147	49161	36485
1148	49199	36439
1149	49235	36391
1150	49281	36351
1151	49323	36307
1152	49370	36267
1153	49407	36220
1154	49451	36178
1155	49496	36137
1156	49546	36099
1157	49581	36051
1158	49609	35997
1159	49638	35944
1160	49683	35903
1161	49725	35860
1162	49775	35822
1163	49827	35786
1164	49870	35743
1165	49899	35691
1166	49932	35641
1167	49970	35595
1168	50020	35558
1169	50065	35516
1170	50108	35473
1171	50151	35431
1172	50199	35391
1173	50229	35340
1174	50273	35298
1175	50300	35244
1176	50335	35196
1177	50382	35156
1178	50407	35101
1179	50456	35062
1180	50490	35014
1181	50527	34967
1182	50570	34924
1183	50614	34883
1184	50652	34836
1185	50694	34793
1186	50730	34746
1187	50772	34703
1188	50816	34661
1189	50849	34611
1190	50892	34569
1191	50940	34529
1192	50975	34482
1193	51017	34439
1194	51061	34396
1195	51107	34356
1196	51150	34314
1197	51186	34266
1198	51223	34220
1199	51262	34175
1200	51301	34129
1201	51336	34081
1202	51378	34038
1203	51408	33987
1204	51452	33945
1205	51492	33901
1206	51532	33856
1207	51574	33813
1208	51613	33768
1209	51657	33727
1210	51700	33684
1211	51746	33643
1212	51782	33596
1213	51817	33549
1214	51854	33503
1215	51898	33460
1216	51950	33423
1217	51977	33371
1218	52014	33324
1219	52047	33275
1220	52078	33225
1221	52116	33180
1222	52160	33138
1223	52201	33094
1224	52245	33053
1225	52285	33008
1226	52324	32963
1227	52362	32918
1228	52405	32875
1229	52438	32827
1230	52488	32789
1231	52525	32743
1232	52569	32701
1233	52610	32657
1234	52655	32616
1235	52689	32568
1236	52724	32521
1237	52764	32477
1238	52810	32436
1239	52856	32396
1240	52890	32347
1241	52930	32303
1242	52971	32260
1243	53017	32219
1244	53059	32176
1245	53098	32132
1246	53145	32092
1247	53192	32051
1248	53229	32005
1249	53273	31964
1250	53311	31918
1251	53350	31874
1252	53392	31831
1253	53433	31787
1254	53474	31743
1255	53513	31698
1256	53553	31654
1257	53586	31606
1258	53631	31565
1259	53669	31520
1260	53707	31474
1261	53739	31426
1262	53791	31388
1263	53831	31344
1264	53880	31306
1265	53918	31260
1266	53956	31215
1267	53998	31172
1268	54038	31128
1269	54085	31088
1270	54127	31045
1271	54170	31003
1272	54213	30960
1273	54260	30920
1274	54302	30877
1275	54338	30831
1276	54379	30788
1277	54419	30744
1278	54465	30703
1279	54504	30658
1280	54541	30613
1281	54582	30569
1282	54623	30525
1283	54666	30484
1284	54711	30442
1285	54753	30399
1286	54793	30355
1287	54833	30311
1288	54878	30270
1289	54921	30228
1290	54963	30185
1291	54999	30139
1292	55035	30092
1293	55070	30046
1294	55107	30000
1295	55143	29954
1296	55187	29912
1297	55225	29867
1298	55269	29826
1299	55315	29785
1300	55352	29739
1301	55393	29696
1302	55423	29647
1303	55460	29601
1304	55497	29556
1305	55538	29512
1306	55571	29465
1307	55600	29415
1308	55632	29367
1309	55662	29318
1310	55700	29273
1311	55732	29225
1312	55778	29184
1313	55825	29144
1314	55865	29100
1315	55902	29055
1316	55939	29010
1317	55985	28969
1318	56036	28931
1319	56075	28887
1320	56115	28843
1321	56149	28796
1322	56229	28773
1323	56299	28744
1324	56361	28712
1325	56407	28671
1326	56443	28625
1327	56482	28581
1328	56520	28536
1329	56558	28491
1330	56600	28448
1331	56646	28408
1332	56685	28363
1333	56721	28318
1334	56757	28272
1335	56805	28232
1336	56848	28190
1337	56897	28151
1338	56936	28106
1339	56980	28065
1340	57022	28022
1341	57059	27976
1342	57103	27935
1343	57138	27889
1344	57178	27845
1345	57217	27800
1346	57260	27758
1347	57308	27719
1348	57347	27674
1349	57391	27633
1350	57432	27589
1351	57464	27541
1352	57515	27503
1353	57559	27462
1354	57604	27420
1355	57635	27372
1356	57672	27327
1357	57713	27284
1358	57751	27239
1359	57798	27199
1360	57834	27153
1361	57872	27108
1362	57924	27071
1363	57971	27030
1364	58011	26986
1365	58047	26941
1366	58082	26895
1367	58126	26853
1368	58171	26812
1369	58222	26773
1370	58262	26729
1371	58305	26687
1372	58345	26644
1373	58395	26605
1374	58434	26561
1375	58468	26514
1376	58513	26473
1377	58551	26428
1378	58596	26387
1379	58650	26350
1380	58691	26307
1381	58728	26262
1382	58766	26217
1383	58819	26179
1384	58859	26136
1385	58898	26092
1386	58944	26051
1387	58986	26008
1388	59028	25965
1389	59068	25922
1390	59100	25874
1391	59140	25831
1392	59187	25790
1393	59224	25746
1394	59287	25712
1395	59334	25671
1396	59374	25628
1397	59418	25586
1398	59460	25543
1399	59508	25503
1400	59552	25461
1401	59589	25416
1402	59626	25372
1403	59669	25329
1404	59714	25288
1405	59742	25239
1406	59776	25193
1407	59813	25148
1408	59850	25104
1409	59892	25061
1410	59935	25019
1411	59969	24973
1412	60001	24926
1413	60047	24885
1414	60092	24843
1415	60132	24800
1416	60174	24757
1417	60208	24711
1418	60236	24663
1419	60274	24619
1420	60309	24573
1421	60359	24534
1422	60403	24492
1423	60446	24450
1424	60480	24404
1425	60516	24359
1426	60556	24316
1427	60601	24274
1428	60635	24228
1429	60682	24188
1430	60718	24143
1431	60759	24099
1432	60806	24059
1433	60844	24015
1434	60885	23972
1435	60923	23928
1436	60958	23882
1437	61007	23842
1438	61044	23798
1439	61091	23757
1440	61121	23710
1441	61179	23674
1442	61217	23630
1443	61246	23582
1444	61285	23538
1445	61328	23496
1446	61365	23452
1447	61412	23411
1448	61436	23362
1449	61484	23321
1450	61524	23278
1451	61561	23233
1452	61601	23190
1453	61633	23144
1454	61682	23104
1455	61724	23062
1456	61766	23019
1457	61803	22975
1458	61831	22927
1459	61876	22885
1460	61914	22841
1461	61948	22796
1462	61989	22753
1463	62013	22704
1464	62050	22660
1465	62092	22617
1466	62134	22575
1467	62187	22536
1468	62227	22493
1469	62265	22449
1470	62290	22400
1471	62322	22354
1472	62369	22313
1473	62402	22268
1474	62430	22221
1475	62465	22176
1476	62500	22131
1477	62532	22085
1478	62573	22042
1479	62625	22003
1480	62665	21960
1481	62699	21915
1482	62728	21868
1483	62773	21826
1484	62818	21785
1485	62857	21742
1486	62898	21699
1487	62930	21653
1488	62977	21612
1489	63000	21564
1490	63057	21526
1491	63082	21478
1492	63117	21433
1493	63140	21384
1494	63188	21344
1495	63235	21303
1496	63281	21262
1497	63319	21219
1498	63350	21173
1499	63395	21131
1500	63428	21086
1501	63477	21046
1502	63509	21000
1503	63539	20954
1504	63580	20912
1505	63628	20871
1506	63669	20828
1507	63714	20787
1508	63747	20742
1509	63790	20700
1510	63827	20656
1511	63876	20616
1512	63914	20572
1513	63951	20528
1514	63993	20486
1515	64031	20442
1516	64077	20401
1517	64120	20359
1518	64164	20318
1519	64205	20275
1520	64246	20232
1521	64293	20192
1522	64333	20149
1523	64373	20106
1524	64412	20062
1525	64454	20020
1526	64499	19979
1527	64543	19937
1528	64585	19895
1529	64622	19851
1530	64667	19810
1531	64714	19769
1532	64752	19725
1533	64795	19683
1534	64832	19639
1535	64874	19597
1536	64921	19556
1537	64961	19513
1538	65000	19470
1539	65037	19426
1540	65076	19383
1541	65123	19342
1542	65171	19302
1543	65213	19259
1544	65248	19215
1545	65296	19174
1546	65343	19134
1547	65385	19091
1548	65422	19048
1549	65467	19006
1550	65509	18964
1551	65556	18923
1552	65600	18881
1553	65638	18838
1554	65670	18793
1555	65711	18750
1556	65745	18705
1557	65810	18670
1558	65906	18643
1559	65947	18600
1560	66001	18561
1561	66040	18518
1562	66076	18474
1563	66114	18430
1564	66149	18386
1565	66183	18342
1566	66237	18303
1567	66286	18262
1568	66330	18220
1569	66371	18178
1570	66417	18136
1571	66462	18095
1572	66504	18053
1573	66540	18008
1574	66574	17964
1575	66633	17926
1576	66695	17889
1577	66731	17845
1578	66768	17802
1579	66814	17760
1580	66854	17717
1581	66901	17676
1582	66938	17633
1583	66973	17589
1584	67015	17546
1585	67057	17504
1586	67104	17463
1587	67144	17420
1588	67183	17377
1589	67221	17333
1590	67267	17292
1591	67317	17252
1592	67355	17208
1593	67394	17165
1594	67431	17122
1595	67480	17081
1596	67524	17039
1597	67566	16997
1598	67603	16953
1599	67645	16911
1600	67696	16871
1601	67738	16828
1602	67776	16785
1603	67821	16743
1604	67863	16701
1605	67914	16661
1606	67959	16619
1607	68000	16577
1608	68040	16534
1609	68076	16490
1610	68125	16449
1611	68175	16409
1612	68217	16367
1613	68258	16324
1614	68306	16283
1615	68346	16240
1616	68390	16198
1617	68427	16155
1618	68466	16112
1619	68507	16069
1620	68549	16027
1621	68594	15985
1622	68635	15942
1623	68676	15900
1624	68714	15857
1625	68752	15813
1626	68800	15772
1627	68836	15729
1628	68882	15687
1629	68922	15645
1630	68970	15604
1631	69012	15561
1632	69050	15518
1633	69092	15476
1634	69130	15432
1635	69177	15391
1636	69218	15348
1637	69253	15305
1638	69293	15262
1639	69332	15219
1640	69378	15177
1641	69424	15136
1642	69460	15092
1643	69504	15050
1644	69544	15008
1645	69586	14965
1646	69630	14923
1647	69671	14881
1648	69714	14839
1649	69755	14796
1650	69803	14755
1651	69847	14713
1652	69887	14670
1653	69924	14627
1654	69968	14585
1655	70009	14543
1656	70053	14501
1657	70094	14458
1658	70129	14414
1659	70165	14371
1660	70216	14330
1661	70265	14289
1662	70312	14248
1663	70349	14205
